Sentences,Langid
"bedi march 1983 ma goama pahochchyaa, tran varshnaa kaaryakaalama.",gu
kahevaay chhe ke uttar pradeshna prataapgadh maa bhayhaarannaath dhaam naamnu pauraanik dhaarmik sthal aavelu chhe.,gu
varshovarsha talaavanee aajubaaju vasati vadhatee rahee che.,gu
sara elmarotha raaitae fleminganee shodhanee bhaarapoorvaka himaayata karee hatee.,gu
daaraang jillo bhaarat deshnaa uttar - poorv bhaagmaa aavelaa asaaam raajyamaa aavela kul 27 (sataavis) jillao paikino ek mahatvno jillo chhe.,gu
"steeva vena jhendata - mukhya gitaara vaadaka, sahaayaka gaayana, mendelina (paachalaa bendsamaam vagaadyaa baada sattaavaarareete julaaee 1975maam jodaayo; pote ekalaa gaayana karavaa maate 1982maam chodyum, chataam avaaranavaara bendamaam dekhaato rahyo, ane 1995naa praarambhamaam bendamaam punah jodaayo; ""adhara benda"" toora daramiyaana jovaa malyo).",gu
ubhi vanaspatinu na hovu (3-4 divas mate jungleoma aag laagavi ane vruksh bali javaa ),gu
aa divasa pachee varsha purun thavaamaan 138 divasa baakee rahe che.,gu
tenie humalaa daramiyan ek aatankwadi ane ek aatmaghati bomberne sansadma praveshta rokya hata.,gu
"disembara 2010maan sanyukta raashtromaan abhipraaya ane abhivyakti svaatantryanaa khaasa khabarapatree frenka laa rueee kahyun hatun ke, asaan̄je ke vikileeksanaa beejaa karmacaaree gana para temane aapelee maahiteenee koeepana jaatanee javaabadaaree banatee nathee, ane nondhyun ke, “ maadhyamomaan tenaa prakaashana ange jo koee javaabadaaree thare che, to te maatra ane maatra e vyaktinee ke jene maadhyamo sudhee aa maahitee pahon̄caadee, nahi ke maadhyamonee jemane tenun prakaashana karyun.",gu
aani amuk mishra dhaatuo soldar ane bol beyringmaam vapraay chhe.,gu
"tene tenee pahelee prathama kakshaanee meca ramavaanee sharuaata 22mee oktobara, 2015naa roja ranajee trofeenee meca ramee karee hatee.",gu
temni samadhi Parabdhamama ashadhibije moto melo bharaay chhe.,gu
naa adhikaareeo asaan̄jene pakadavaa maage che.,gu
auto haanane baalpanathi j rasaayanshaastrama ras hato.,gu
saan̄cee maan raayasena jillaanee eka nagara pan̄caayata che.,gu
bhartiy sainikoe chini humla same rakshan mate taiyar kareli jagyao sambhali lidhi.,gu
dasmaa divse sugandha-dashminu vrat karvaamaa aave chhe.,gu
roga pratikaaraka shakti saaree hoya che ane aavee vyakti divasabhara sfoorteemaan rahe che.,gu
katihaara bhaarata deshanaa uttara bhaagamaam aavelaa bihaara raajyamaam aavelaa kula 38 (aadatreesa) jillaao paikeenaa eka evaa katihaara jillaamaam aavelum eka mahattvanum nagara che.,gu
eka nivrutta karaayela neta vimaana pana smaarakano bhaaga banaavaayum che ane te mukhyadvaara paase rakshakanee bhoomikaa bhajave che.,gu
"rajooaat maate iomi, batlar, diyo ane epaais navaa geeto lakhvaa ane tene dhvanimudrit karvaa maate punah jodaayaa.",gu
ochhi lambaina resaawalo kapaas,gu
1938 maan kongresa nun vaarshika adhiveshana haripuraa maan karavaanun nakkee thayun hatun.,gu
tyaar baad paanimaa taliye bethelaa koochaane naaliyernaa beebeemaa raandhvaamaa aavti ane tene kelaanaa paanmaa lapetine bhavishyanaa vapraash maate rakhaati.,gu
"Nene, Toyotomi Hideyoshini patni, te samaye, tena patina nirnayone rad karva mate janiti hati ane Yodo, teni rakhaat, Osaka mahelni ane Hideyoshina mrutyu pachhi Toyotomi samuhni master bani.",gu
aa vartanuk kadaach rokaan bankingma parinami hot athvaa potana sharene tarfenma raakhavaa janataanu dhyaan khechi raakhavaa jaaher offer daramiyaan vadhaarana shareona vechaanma pan parinami hot.,gu
plaand perenthud naamni sansthaa je parivaar niyojan ane jaateey shixananu samarthan kare chhe teo janaave chhe ke koi pan sarvexanomaa jaateey shixanmaa bhrahmcharyanu paalan karvaa par jor muktaa nathi maatra sambhogmaa modethi jodaavu tevu soochve chhe.,gu
"aa showe maadhyamonu nondhpaatra pramaanamaa dhyaan aakarshit karyu, ane ke wnw-fm par prasaarit karvama aavyu, jene ghanaa shankaashil lokone springsteen kharekhar kalaakaar chhe tevu maanataa karyaa.",gu
prathama vishvayuddha daramiyaana medikala jarnala dha laanseta maan prasiddha thayelaa ahevaalamaan fleminge potaanaa prayoga vishe janaavyun hatun je teo potaanee glaasa bloinganee kshamataanaa aadhaare karee shakyaa hataa.,gu
"haatha tema ja paganee aangaleeo paikee sauthee vadhaare jaadaai dharaavatee aangalee jene aapane saamaanya reete angutho kaheee che tenun vaastavika naama ""angushtha"" che.",gu
bija vishwa yudhhama bharatna praveshna mudde rashtriy mahasabha vibhajit hati.,gu
"eka andaaja pramaane perunaa loko prativarsha 65 miliyana gini piga aaroge che, ane aa praanee temanee sanskrutimaam pana jalavaaee rahyum che, laasta saparanaa jaaneetaa citramaam kaskonee mukhya carcamaam kraaeesta (eesu khrista) ane temanaa baara anuyaayeeo gini piga aarogataa darshaavaayaa che.",gu
henari aathmaanaa shaasan darmyaan angreji bhaashaamaa jivancharitro lakhaavaani sharuaat thai.,gu
Sameera Reddyno janm 14 December 1979na roj Andhra Pradeshna Rajahmundry khate Telugu kutumbma thayo hato.,gu
deegree melavee ane 1995maan temane deepaartamenta ofa seetee enda reejanala plaaneenga thee f.d.,gu
saamaanya ke ceelaacaalu vaparaasha paddhatimaan sarva kondoma vaparaasha kartaane shaamila karavaamaan aave che.,gu
"aa vastuo jethi aa yunivarsitione mahaantaa ane khyaati aapeli chhe ane shahero ekdam adbhoot chhe ke amne potaani najare pratham jovaano vichaar aave chhe ane satya jaanvaani ichchha thaay chhe, ane pachhi em jaanyu ane shodhyu ke hakikatmaa vastuo kevi chhe, tamne teno ahevaal lakhu chhu.",gu
"e divase, Hirihitoe Kidone aadesh aapyo, ""paristhiti par adapthi niyantran melavo...kaaran ke Soviet Unione aapani virudhh yudhh chhedi didhu chhe.""",gu
pravaasanaa modelo beega tveena enjino ane motaa daayaameetara teliskopika forkasano upayoga kare che.,gu
trenmaa saathi musaafaroe temne aarthik madad kari jenaa aadhaare teo pahelaa dhaarvaad ane baadmaa poone pahonchyaa.,gu
banne ramakadaan temanee trakano peecho pakade che.,gu
"aa geetathi thayeli kamani banda aakehna anath lokoni madad mate upyogma levama aavi hati, je 2004na bhartiy samudrana tsunamithi asargrast vistaaromano ek hato.",gu
"sambandhit rite aa navin udhyog chhe, je 'agency' shabdne apanaavavama dhimo chhe, joke jaaheraato (maahiti athvaa chhap)na sarjan ane maadhyam kharidi saathe teo technically rite j 'jaaheraat agencyo' tarike maanya tharyaa chhe.",gu
"dha etomika bomba enda dha enda ofa varlda vora (anu bomba ane beejaa vishvayuddhano anta), neshanala sikayuritee aarkaaeeva dvaaraa praathamika srotonun sampaadana",gu
pashchim Maharashtrano Kolhapur jillo pan pila rangni vividhatawala golna lidhe janito chhe ane Maharashtrama teni khhub maang chhe.,gu
tyagrajna matanu naam sitammaa tem j pitanu naam rambhrahma hatu.,gu
sarkare chhevate banne pakshne fave teva samadhanani pahel kari.,gu
aa mandir raashtreeya mahattvanum smaaraka (N-GJ-153) che ane bhaarata sarakaaranaa puraatatva khaataa vade surakshita che.,gu
uprant itihasma sauthi mahan bahumukhi pratibha dharaavanar pan temni gananaa thay chhe .,gu
temaam saralataa saathe joi shakaaya che.,gu
yunaaited stetsmaa darek raajya potaani rachnaane lagto alag kaaydo dharaave chhe.,gu
"jermin nidhi sansthaaonaa kaaydaamaa sahi kari, ke jene benking aniyamitataani prakriyaani sharuaat kari vali, 1980saalnaa antamaa/1990 saalni sharuaatni bachat ane dhiraan katokatimaa faalo aapvaamaa, ane 2007-2010naa naanaakiy katokatimaa tene sahaay kari.",gu
mahishmati e ek praachin bhartiy shaher hatu.,gu
temna jeevanani amuk ghatnakramne darshaavta naatako banyaaa chhe.,gu
"varadaana paamee teo nirbhaya thaee gayaam ane surom, asurom ne sataavavaa maandyaam.",gu
praachinkaalmaa sudhnvaa naamnaa ek raajaa hataa.,gu
tapaala tikita vicchedaka yantra (separeshana masheena)nee shodha pachee badhaa ja desho jhadapathee aa paddhatine apanaavavaa laagyaa.,gu
"tethee misaranaa lokoe sankhyaabandha vaikalpika samayamaapaka saadhano vikasaavyaan, jemaan jala ghadiyaalo, retee ghadiyaalo, ane taaraaonaa halanacalananee jaanakaaree raakhavaanee pranaalee saamela che.",gu
"aa taalukaamaam mukhyatve daangara (khareefa), kapaasa, soyaabeena, ghaum, tuvara, maga, adada ane maracaannaa paakonee khetee karavaamaam aave che.",gu
tenu drashya kaai po che!,gu
atala bihaaree vaajapeyeeno janma krushnaadevee ane krushna bihaaree vaajapeyeene tyaan saadhaarana braahmana kutumbamaan gvaaliyaramaan thayo hato.,gu
leelaam safeda ruvaanteevaalaam paandadaam paakee jaaya tyaare peelaa ranganaam thai jaaya che.,gu
"natvarsinhji kriket klab medaan ek kriketnu medaan chhe, je porbandar, sauraashra khaate aavel chhe.",gu
niche janaaveli yaadi aadhunik jaato vyakt karti nathi.,gu
baaradolee satyaagrahanaa samaye ane 1930-32naa meethaa satyaagraha vakhate pana teoe agranee netaaonee saathene rahee kaarya karyun hatun.,gu
Nityanand Swami Swaminarayan sampradayana vyas tarike olkhay chhe.,gu
"ketlik prajatio kavach sahit khavaay chhe, jem ke naram-kavach wala karachala ; anya (khas kari mota kadwala) prajationa fakt panjaa athva pag khavama aave chhe.",gu
jetalaan laambaa hoya che.,gu
"nyoo jheelendamaan blyoo haausa yaarnsa jevaa ketalaanka bijhanesa sendreeya oonanun vecaana karavaa tarafa valyaa che, je oonanaa utpaadanano navo trenda che.",gu
Burkina kabja baad bhartiy dalo Lahore paasena Dograi taraf aagal vadhta rahya.,gu
tenee aasapaasa un̄caa sthalo para kraantikaareeo gothavaayela hataa ane temane golandaajeenee sharuaata karee.,gu
rudranaath khaatethi parat aavyaa pachhi mandal khaatethi vaahan dwara helang pahochi shakaay chhe.,gu
"chotaaudepura, bodelee tathaa paavee jetapura aa nadeenaa kinaare vaselaa mukhya nagaro che.",gu
mausamamaam teo veshyaavaado calaavataam baainee bhoomikaamaam hataam.,gu
bhola najikna ek sthale aa nadino pat 12 kilometer paholo chhe.,gu
khere kahyu ke dangna adivasio marathi bhaashaa bole chhe ane temnu dhyey e j hovu joiye.,gu
valta golibarma Kasab naamno atankwadi ghayal thayo hato.,gu
"1997maa aaveli film kop lendmaa silvestar stelonanaa paatrane golaakaar fartaa tebal par springsteenanaa dha reevar aalbamnaa geet ""draaiv ol naait"" ane ""stolan kaar"" vagaadtu darshaavavaamaa aavyu chhe.",gu
"Nomoshkar, apni kemon achhen?",bn
Amar naam Subham.,bn
Apni cha pochondo koren?,bn
Amar boi pora bhalo lage.,bn
Ajke akash bhalo dekhachhe.,bn
Ami school jachhi.,bn
Apni Kolkata theke?,bn
Apnar din kemon chilo?,bn
Amake sahajjo korun.,bn
Agamikal amra dekha korbo.,bn
Ekadina ekati lobhi kukura ekati kasai era dokana theke ek tukaro mansa curi karala Ta dekhe kasai tamra pichane tara karala kintu kichudura paryanta giye se tara nijera dokane phire ela Edike kukurata bhishana bhaye chutate lagala pranapane,bn
Anekata yawayara para se pichana phire takiye dekhala ye kasaitā tara dike tara kare asache kina Kaukē asate na dekhe se tara gati kamiye dhire suthe hamṭate lagala Kichuksana pare se ese paumchala ekata chotta nadira kache,bn
Se takhana mukhera mansera tukarota niye setura opara diye nadi para hate lagala Sesamay nadira parishkara jale tara pratibimba bhese uthate se sedike takiye dekhala Lobhi ara boka kukurata nijera pratibimbake mansa mukhe anya ekati kukura mane karala Sei mansera tukarota'o pa'owaya jan'ya tara khuba lobha halo,bn
Se ebara anya kichu cinta bhabana na kare nadira jale jhampiye parala ara sange sange jalera srota take bhasiye niye gela Lobhi kukurata mansera tukarotara sathe sathe tara mullyabana prana ta o harala,bn
Ekata kaka urate urate emana ekata sthane ese paumchalo yekhane jala pa'owaya khubai duskara Athaca pipasaya tara gala shukiye yacchila Anek khomjakhumji kara para kaka ekata kalasi pela,bn
Kintu kalasira kache giye se hatasa halo sudhu thomṭa bariye cestā karala anekabara jala pana kara Kintu jalera nagala na peye kakati cinta karate lagala ki kara yaya! Kalasira asēpase kichu nuripathara parechila; segulo dekhate dekhate hathat kakera mathaya ekati buddhi ela,bn
Ekati ekati kare nuripathara niye kalasira madhye phelate lagala se Pathara jayaga dakhala karayā jala uthe ela kalasira mukhera kache Trisnarta kakera prana khusite bhare uthala Thomṭa dubiye dubiye prana bhare jala pana kare se tara trisna metala,bn
Tina dina dhare anabarata brishti ha'oyara karane ekati shiyala khabarera khomje kotha'o berote pareni Khidera jbalaya thakate na pere shiyalati banera madhye khabarera sandhane ghurate lagala,bn
Hathat ekati jhopera dike tara najara para la Se dekhala jhopera pase ekati anguragacha ebam aneka paka angurera thoka jhulache sekhane Khidera jbalaya sei angura kheye'i peta bharabe bale sheyalati manasthira karala,bn
Kintu gachera eta upare thaka angurera thoka gulira se kibhabe nagala pabe sei niye bhabate shuru karala Kintu shiyalati tara kona'o upaya'i bara karate para la na Abaseshe biphala manoratha hoye se sei sthana parityaga karala,bn
Pherara pathe se balate lagala - “Angura phala taka; oi angura ami khete'o paratama na ara khele'o amara peta bharata na”,bn
Ekate grame ekati rakhala chele basa karata Tara baba take bheradera yatna nite adesha diyechila Pratidina cheletike ghasera mathe bherade ra charate niye yete hato Rakhala cheletira ei kaja ekadama pachanda chila na karana se daurate ara khelate cha'ita Tai ekadina se gramera lokera sathe maja karara siddhanta nila,bn
"Hathat se citkara kare balala ""nekare nekare!"" Rakhala cheletira citkara shune puro gramera loka nekareke taranora jan'ya pathara sabala lati ye ya para la niye ela Kintu bane ese grambasira yakhana dekhala ye kona'o nekare nei rakhala balakati tadēra samaya nashta karechē ebam tadēra bhaya dekhābara jan'ya'i mithya katha balachē takhana tara birakta bodha karala ebam ye yara barite phire gela",bn
"Parera dina cheleti abara citkara kare balala ""nekare nekare!"" Ara grambasira abara'o nekare tarate rakhala cheletira kache daure ela Cheleti tadēra bhaya dekhe yakhana hese uthala grambasira chale gela ebam ke'u ke'u khuba ragabita hala rakhala cheletira kirtikalapa dekhe",bn
"Tritiya dina cheleti bhera charabara jan'ya chotta ekati paharé uthechila ara hathat se dekhala satyikare ekata nekare bagha tara bheradera opara akramana karechē Se pranapane citkara kare balala ""nekare nekare!!""",bn
Kintu grambasira bhabala rakhala cheleti bujhi tadera abara boka bananora cesta karache tai ebara keu cheletike uddhara karate ela na Mithye balara karane rakhala cheleti tara tinati bherake harala,bn
Ekabara akabara tara adalate ekati prasna rekhechila ya sabai ke abaka karechila Rajasabhara sabai yakhana uttara bera karara cesta karachila takhana birabala egie giye janate cilena ki byapara Ara tai tara birabalake prasnati kare janate ca'ila“shahare katagulo kaka ache?”,bn
Birabala sathe sathei hasya badane akabarera kache giye ghoshana karalena ye tamra prasnerea uttara hala ekusa hajara pamsaoti tisati kaka gota sahare upasthita Yakhana samrata janate ca'ilena ye birabala kibhabe uttaratī dite paralena takhana birabala uttare balichilena maharaja apanara lokerakera sankhya ganana karate baluna,bn
Yadi aro kaka thake tahale saharera ba'ire theke kakeder atmiya ra tadēra dekha karate esechē ara yadi kama thake tahale kakera saharera ba'ire tadēra atmiya sbajanera sathe dekha karate geche Uttara peyē khushi hayē akabara birabalake puraskrita karechēna,bn
Eka samaya eka grame dui bandhu basa karata Tadera madhye emana gabhira bandhutba chila yekajana arekajanake na dekhe thākatē parata na Tachara tamra parasparake atyanta biswasa karata Ekadina eka bandhu banijya karara uddyeya niye kayeka masera jan'ya anya ekata sahare ra'ona diyechila E samaya se tara bandhutira dayite lohara sindukati rekhe gela,bn
Kayeka masa pare sahara theke phire ese tara lohara sinduka ta se'i bandhutira kacha theke pherata ne'oya jan'ya se tara bari gela Kintu bandhuti take balala ye tara sindukata upokaya kheye phelechē Bandhuti takhana anya bandhutike kichu na bale nijera barite phire ela Se take ekata ucita siksha debe bale thika karala'ebam upayukta suyogera jan'ya apeksa karate lagala,bn
Ekadina tara bandhura cheleke eka jayagaya eka eka khela karate dekhe take apaharan karala Anya bandhuti parishkara bujhate paralā tara bandhu'i tara cheleke apaharan kareche Se'imatō take balala tara cheleke pherata dite Bandhuti takhana balala tara cheleke chile niye geche; tara katha sunē abasheshe asat bandhuti nijera bhula bujhate paralā ebam ucita siksha pela Erāpara se tara bandhura lohara sindukati phiriye diye tamra nijera cheleke'o se pherata pela,bn
Ami protidin shokal e ghum theke uthe byayam kori tarpor nasta kore office er jonyo prostut hoi Office e giye ami amar kajgulo shomoymoto shesh korar chesta kori Shondhay bari fire poribader shathe shomoy katai ebong rater khabar kheye boi pori ba TV dekhi,bn
Tumi jodi niyomito porashona koro tahole porikkhay bhalo folafol korte parbe Porar shomoy monojog diye shob bishoy bujhe neya khub guruttopurno Tumi jodi protidin olpo olpo kore poro tahole porikkhar shomoy chap kombe ebong tumi atmabishwashi hoye uthbe,bn
Se tar bondhuder shathe mile ekta samajik prokolpo shuru korechhe Ei prokolper maddhome tara gorib shishuder porashonay shahajjo kore Se bishwas kore je shikkha hol samajer unnoyoner mul chabikathi Tar ei udyoge onekei onupranito hoyeche,bn
Amra protibosor grame giye poribader shathe pujo udjapon kori Sekhane shobai mile anondo kore notun jamakapor pori ebong bibhinno rokomer khabar khai Ei shomoyta amader jonyo khub bishes karon ete amra eke oporer kachakachi ashi,bn
Tara schooler barshik krira protijogitay angsho niyeche Protijogitay tara dour lomph ebong onnyano khelay angsho niye onek anondo peyechhe Tader shikkhokra tader utshoha diyechhen ebong tara shobai mile ekta bhalo shomoy katiyeche,bn
Bangladesh ekta sundor desh jekhane prokritir sundorjo shukhe dekha jae Ekhane shobuj math nodi ebong pahad royechhe Bangladesh er manush khub atithiporayon ebong tader shanskriti khub samriddho Ei desher itihas ebong oitihyo amader gorbo korar moto,bn
Shikkha hol jibon er shobcheye guruttopurno angsho Eti amader gyan briddhi kore ebong amaderke bhalo manush hote shahajjo kore Shikkha chara amra jibone sofol hote parbo na Tai amader uchit niyomito porashona kora ebong notun kichu shekha,bn
Prokriti amader jibon er ekta obichchhedyo angsho Prokritir sundorjo amader monke shanto kore ebong amaderke notun shokti dei Amra jodi prokritike bhalobashi ebong raksha kori tahole amader bhobishshot projonmoo er sufolo pabe,bn
Khela shudhu mojar jonyo noy eti amader swasthyer jonyo khub guruttopurno Niyomito kheladhula korle amader sharir sustho thake ebong mono profullo thake Tai amader uchit protidin kichu shomoy khelar jonyo ber kora,bn
Boi hol gyaner bhandar Boi porle amader gyan briddhi hoy ebong amra notun notun bishoy shekha pari Boi porar obhyash amader monke prosarito kore ebong amader chinthabhabna ke unnoto kore Tai amader uchit beshi beshi boi pora,bn
Cinema hol binodoner ekta jonopriyo madhyam Cinema dekhle amra bibhinno golpo ebong choritrer shathe porichito hote pari Eti amaderke bastob jiboner bibhinno poristhiti bujhte shahajjo kore Cinema dekhayer maddhome amra onek kichu shekha pari,bn
Gaan amader jibon e anondo ane Gaan shunle amader mon bhalo hoye jae ebong amra shob chinta bhule jai Gaan shonar sathe sathe gaan gawaoo ekta bhalo obhyash Eti amader moner chap komate shahajjo kore,bn
Bhramon hol jibon er ekta guruttopurno angsho Bhramon korle amra notun jayga dekhte pai ebong notun obhiggota arjon kori Eti amader gyan briddhi kore ebong amader monke prosarito kore Tai amader uchit niyomito bhramon kora,bn
Swasthya hol jibon er shobcheye boro sompod Jodi amra sustho na thaki tahole amra jibon e kono kichu thikmoto korte parbo na Tai amader uchit niyomito byayam kora sothik khabar khawa ebong porjapto ghumano,bn
Projukti amader jibon e onek poriborton eneche Eti amader kaj ke sohoj ebong druto koreche Projuktir shahajje amra ekhon durer manushder shathe sohoje jogajog korte pari Tobe amader uchit projuktir sothik babohar kora,bn
Poribar hol amader jibon er shobcheye guruttopurno angsho Poribader sodosso amader shobshomoy shahajjo kore ebong amaderke bhalobashe Poribader shathe shomoy katale amra anondo pai ebong amader mon shanto hoy Tai amader uchit poribader jatno neya,bn
Bondhutwo hol jibon er ekta mullo ban sompod Bhalo bondhu amader jibon e onek shahajjo kore ebong amaderke utshoha dei Bondhuter maddhome amra onek anondo ebong shukh pai Tai amader uchit bondhuttwo ke guruttopurno dewa,bn
Shomoy hol jibon er shobcheye mullo ban sompod Shomoy ekbar chole gele ta ar fire pawa jae na Tai amader uchit shomoyer sothik babohar kora ebong protiti muhurto ke kajey lagano Shomoy nosto kora uchit noy,bn
Shopno dekhle amader jibon e notun lokkho toiri hoy Shopno amaderke jibon e egiye jete shahajjo kore Jodi amra amader shopno puroner jonyo kathor porishrom kori tahole amra obosshoi sofol hote parbo Tai amader uchit shopno dekhte bhoy pawa noy,bn
Bhalobasha hol jibon er shobcheye sundor onubhuti Bhalobasha amaderke eke oporer kachakachi ane ebong amader jibon ke sundor kore tole Bhalobasher maddhome amra shanti ebong shukh pai Tai amader uchit shobayke bhalobasha dewa,bn
Banglar lokokotha ebong puranguli amader shanskritir ekta guruttopurno angsho Ei golpguli shudhu binodonoi noy noitik shikkhao dei ja amader jibon er pothprodorshok hoye othe,bn
Banglar nodipothe nouka bhromon ekta onno obhiggota Nodir jole surjer alo pore toiri howa jhilmil drishyo monke shanto kore ebong prokritir sundorjoke upolobdhi korte shahajjo kore,bn
Banglar gramÄ«n haatbajare gele mone hoy jeno jiboner shob shorong eksathe mishe geche Krishokder utshoha kretader dorokshakoshir ebong sthaniyo ponner boichitro ei hatguli ke bisesh kore tole,bn
Banglar oitihyobahi utshob jemon Poushparbon ebong Nobanno krishi ebong prokritir shathe manusher somporko ke udjapon kore Ei utshobguli amader shanskritir ekta guruttopurno angsho,bn
Banglar sahityo ebong sangiter modhye ekta gobhir somporko royechhe Rabindranath Thakur er gan guli shudhu Banglar shanskritii noy bishwo shanskritir o ekta angsho hoye utheche,bn
Banglar gramÄ«n jiboner shorolota ebong sundorjo shohure jiboner byostota theke sompurno alada Gramer manusher atithyo ebong sohoj jibonjyatra monke shanto kore,bn
Banglar oitihyobahi poshak jemon sari ebong dhuti amader shanskritir ekta guruttopurno angsho Ei poshakguli shudhu sundorji noy amader oitihyer o protik,bn
Banglar loknritto jemon Chhou nach ebong Gambhira amader shanskritir ekta guruttopurno angsho Ei nrityakala amader oitihyo ebong shilper protik,bn
Banglar prakritik sompod jemon cha bagan ebong nodi amader orthonitir ekta guruttopurno angsho Ei sompodguli amader jibiqa ebong shanskritike somriddho kore,bn
Banglar oitihyobahi khabar jemon macher jhol ebong bhat shudhu petoi noy monkewo triptikore Ei khabarguli amader shanskritir ekta obichchhedyo angsho,bn
Banglar gramÄ«n jiboner shorolota ebong sundorjo shohure jiboner byostota theke sompurno alada Gramer manusher atithyo ebong sohoj jibonjyatra monke shanto kore,bn
Banglar oitihyobahi poshak jemon sari ebong dhuti amader shanskritir ekta guruttopurno angsho Ei poshakguli shudhu sundorji noy amader oitihyer o protik,bn
Banglar loknritto jemon Chhou nach ebong Gambhira amader shanskritir ekta guruttopurno angsho Ei nrityakala amader oitihyo ebong shilper protik,bn
Banglar prakritik sompod jemon cha bagan ebong nodi amader orthonitir ekta guruttopurno angsho Ei sompodguli amader jibiqa ebong shanskritike somriddho kore,bn
Banglar oitihyobahi khabar jemon macher jhol ebong bhat shudhu petoi noy monkewo triptikore Ei khabarguli amader shanskritir ekta obichchhedyo angsho,bn
Banglar gramÄ«n jiboner shorolota ebong sundorjo shohure jiboner byostota theke sompurno alada Gramer manusher atithyo ebong sohoj jibonjyatra monke shanto kore,bn
Banglar oitihyobahi poshak jemon sari ebong dhuti amader shanskritir ekta guruttopurno angsho Ei poshakguli shudhu sundorji noy amader oitihyer o protik,bn
Banglar loknritto jemon Chhou nach ebong Gambhira amader shanskritir ekta guruttopurno angsho Ei nrityakala amader oitihyo ebong shilper protik,bn
Banglar prakritik sompod jemon cha bagan ebong nodi amader orthonitir ekta guruttopurno angsho Ei sompodguli amader jibiqa ebong shanskritike somriddho kore,bn
Banglar oitihyobahi khabar jemon macher jhol ebong bhat shudhu petoi noy monkewo triptikore Ei khabarguli amader shanskritir ekta obichchhedyo angsho,bn
Banglar shanskriti ebong oitihyo atonto somriddho ebong prattiti utshob jemon Durga Puja amader oikko ebong anonder protik Ei utshobguli amader poribar ebong bondhuder shathe shomoy katano ekta sujog prodan kore,bn
GramÄ«n Banglar prakritik sundorjo oporup bisesh kore borá¹£akale jokhon shobuj dhaner khete ebong meghla akash monke shanto kore Ei drishyo dekhe mone hoy prokriti jeno tar shob shupure dhora diyeche,bn
Kolkatar rastay hatte hatte mone hoy ei shohoj jeno itihash ebong adhunikotar melbandhon Victoria Memorial theke Howrah Bridge porjonto shobi Banglar gorber protik,bn
Banglar loksangeet jemon Bhawaiya ebong Bhatiyali amader shanskritir ekta guruttopurno angsho Ei gan guli gramÄ«n jiboner shukh-dukkho ebong prokritir sundorjoke futiye tole,bn
Sundarboner mangrove bon ebong Royal Bengal Tiger Banglar prakritik sompod er protik Ei aronyo dekhte gele mone hoy prokriti jeno tar rahossomoy ruphe dhora diyeche,bn
Banglar mistanno jemon Rosogolla ebong Sandesh shudhu mukher swad oi noy hridoy keo triptikore Ei mistiguli amader shanskritir ekta obichchedyo angsho,bn
Banglar sahityo jogote Rabindranath Thakur ebong Sharatchandra Chattopadhyay er moto mohan lekhokder obodan oporishim Tader lekha aaj o amader mone notun chintar udrekh kore,bn
Banglar nodiguli jemon Ganga ebong Padma amader jiboner ekta guruttopurno angsho Ei nodiguli shudhu jolo oi noy amader shanskriti ebong orthonitir o protik,bn
Banglar krishokra tader porishrom ebong medha diye dhan ghoom ebong onnano foshol utpadon kore Tader ei obodan amader samajer bitti,bn
Banglar hastashilpo jemon Sholar kaj ebong Kantha stitch amader oitihyo ebong srijonshilatar protik Ei shilpoguli aaj o amader shanskritike somriddho kore,bn
Banglar bará¹£amangol utshob prokritir shathe manusher somporko ke udjapon kore Ei utshobe nach gan ebong abrittir madhyome prokritir sundorjoke tule dhora hoy,bn
Banglar gramÄ«n jiboner shorolota ebong sundorjo shohure jiboner byostota theke sompurno alada Gramer manusher atithyo ebong sohoj jibonjyatra monke shanto kore,bn
Banglar oitihyobahi poshak jemon sari ebong dhuti amader shanskritir ekta guruttopurno angsho Ei poshakguli shudhu sundorji noy amader oitihyer o protik,bn
Banglar loknritto jemon Chhou nach ebong Gambhira amader shanskritir ekta guruttopurno angsho Ei nrityakala amader oitihyo ebong shilper protik,bn
Banglar prakritik sompod jemon cha bagan ebong nodi amader orthonitir ekta guruttopurno angsho Ei sompodguli amader jibiqa ebong shanskritike somriddho kore,bn
Banglar oitihyobahi khabar jemon macher jhol ebong bhat shudhu petoi noy monkewo triptikore Ei khabarguli amader shanskritir ekta obichchhedyo angsho,bn
Banglar gramÄ«n jiboner shorolota ebong sundorjo shohure jiboner byostota theke sompurno alada Gramer manusher atithyo ebong sohoj jibonjyatra monke shanto kore,bn
Banglar oitihyobahi poshak jemon sari ebong dhuti amader shanskritir ekta guruttopurno angsho Ei poshakguli shudhu sundorji noy amader oitihyer o protik,bn
Banglar loknritto jemon Chhou nach ebong Gambhira amader shanskritir ekta guruttopurno angsho Ei nrityakala amader oitihyo ebong shilper protik,bn
Banglar prakritik sompod jemon cha bagan ebong nodi amader orthonitir ekta guruttopurno angsho Ei sompodguli amader jibiqa ebong shanskritike somriddho kore,bn
Amar jiboner shobcheye boro swopno holo prithibir protiti prante bhromon kora notun shanskriti jana ebong manusher golpo shona Pratti bhromon-i amake notun kichu shekhay ebong amar drishtibhongike prosharit kore Ami bishwas kori je bhromon manushke aro udar o gyanÄ« kore tole,bn
